S.No,un_number,proper_shipping_name,simplified_name,hazard_class,subsidiary_risks,packing_group,hazard_labels_required,erg_guide_number,special_provisions,qty_ltd_passenger_aircraft,packing_instruction_passenger_aircraft,qty_ltd_cargo_aircraft,packing_instruction_cargo_aircraft,description_notes,is_marine_pollutant,is_environmentally_hazardous
96,2219 ,Allyl glycidyl ether ,"Allyl glycidyl ether, Allyl, glycidyl, ether",3,,,Flamm. liquid,129,,,,,,,FALSE,FALSE
97,1723 ,Allyl iodide ,"Allyl iodide, Allyl, iodide, ",3,8,,Flamm. liquid & Corrosive,132,,,,,,,FALSE,FALSE
98,1545 ,"Allyl isothiocyanate, stabilized ","Allyl isothiocyanate, Allyl, isothiocyanate",6.1,3,,Toxic & Flamm. liquid,155,,,,,,,FALSE,FALSE
99,1724 ,"Allyltrichlorosilane, stabilized ",Allyltrichlorosilane,8,3,,Corrosive & Flamm. liquid,155,,,,,,,FALSE,FALSE
100,2870 ,Aluminium borohydride ,"Aluminium borohydride, borohydride",4.2,4.3,,,135,,,,,,,FALSE,FALSE
101,2870 ,Aluminium borohydride in devices,"Aluminium borohydride, borohydride,",4.2,4.3,,,135,,,,,,,FALSE,FALSE
102,1725 ,"Aluminium bromide, anhydrous","Aluminium bromide,  anhydrous, bromide",8,,,Corrosive,137,,,,,,,FALSE,FALSE
103,2580 ,Aluminium bromide solution,"Aluminium bromide solution,  bromide",8,,,Corrosive,154,,,,,,,FALSE,FALSE
104,1394 ,Aluminium carbide ,"Aluminium carbide, carbide",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
105,1726 ,"Aluminium chloride, anhydrous","Aluminium chloride,  anhydrous,  chloride",8,,,Corrosive,137,,,,,,,FALSE,FALSE
106,2581 ,Aluminium chloride solution ,"Aluminium chloride solution, chloride",8,,,Corrosive,154,,,,,,,FALSE,FALSE
107,1395 ,Aluminium ferrosilicon powder ,"Aluminium ferrosilicon powder, ferrosilicon",4.3,6.1,,Dang. when wet & Toxic,139,,,,,,,FALSE,FALSE
108,2463 ,Aluminium hydride ,"Aluminium hydride, hydride",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
109,1438 ,Aluminium nitrate ,"Aluminium nitrate, nitrate",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
110,1397 ,Aluminium phosphide ,"Aluminium phosphide, phosphide",4.3,6.1,,Dang. when wet & Toxic,139,,,,,,,FALSE,FALSE
111,3048,Aluminium phosphide pesticide ,"Aluminium phosphide pesticide, phosphide, pesticide",6.1,,,Toxic,157,,,,,,,FALSE,FALSE
112,1309 ,"Aluminium powder, coated † ",Aluminium powder,4.1,,,Flamm. solid,170,,,,,,,FALSE,FALSE
113,1396 ,"Aluminium powder, uncoated † ",Aluminium powder,4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
114,3170 ,Aluminium remelting by-products † ,"Aluminium remelting by-products , Aluminium",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
115,2715 ,Aluminium resinate ,"Aluminium resinate, resinate",4.1,,,Flamm. solid,133,,,,,,,FALSE,FALSE
116,1398 ,"Aluminium silicon powder, uncoated ","Aluminium silicon powder,  silicon",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
117,3170 ,Aluminium smelting by-products † ,Aluminium smelting by-products,4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
118,2733 ,"Amines, flammable, corrosive, n.o.s. ","Amines,  flammable, corrosive",3,8,,Flamm. liquid & Corrosive,132,,,,,,,FALSE,FALSE
119,2735 ,"Amines, liquid, corrosive, n.o.s.  ","Amines, corrosive",8,,,Corrosive,153,,,,,,,FALSE,FALSE
120,2734 ,"Amines, liquid, corrosive, flammable, n.o.s.  ","Amines, corrosive,  flammable",8,3,,Corrosive & Flamm. liquid,132,,,,,,,FALSE,FALSE
121,3259 ,"Amines, solid, corrosive, n.o.s.  ","Amines, corrosive",8,,,Corrosive,154,,,,,,,FALSE,FALSE
122,2673 ,2-Amino-4-chlorophenol ,"2-Amino-4-chlorophenol, Amino, chlorophenol",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
123,2946 ,2-Amino-5-diethylaminopentane ,"2-Amino-5-diethylaminopentane, Amino, diethylaminopentane",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
124,3317,"2-Amino-4,6-dinitrophenol, wetted (with 20% or more water by mass)","2-Amino-4, 6-dinitrophenol, Amino, dinitrophenol",4.1,,,Flamm. solid,113,,,,,,,FALSE,FALSE
125,3055 ,2-(2-Aminoethoxy)ethanol ,"2-Aminoethoxy ethanol, Aminoethoxy, ethanol",8,,,Corrosive,154,,,,,,,FALSE,FALSE
126,2815 ,N-Aminoethylpiperazine ,N-Aminoethylpiperazine,8,,,Corrosive,153,,,,,,,FALSE,FALSE
127,2512,"Aminophenols (o-, m-, p-)",Aminophenols,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
128,2513,"Aminopyridines (o-, m-, p-)",Aminopyridines,6.1,,,Toxic,,,,,,,,FALSE,FALSE
129,2514,"Ammonia, anhydrous ","Ammonia, anhydrous",2.3,8,,,,,,,,,,FALSE,FALSE
130,2515,"Ammonia solution (relative density (specific gravity) less than 0.880 at 15°C in water, with more than 35% but not more than 50% ammonia)","Ammonia solution, Ammonia",2.2,,,Non-flamm. gas,,,,,,,,FALSE,FALSE
131,2516,"Ammonia solution (relative density (specific gravity) less than 0.880 at 15°C in water, with more than 50% ammonia)","Ammonia solution, Ammonia",2.3,8,,,,,,,,,,FALSE,FALSE
132,2517,"Ammonia solution (relative density (specific gravity) between 0.880 and 0.957 at 15°C in water, with more than 10% but not more than 35% ammonia)","Ammonia solution, Ammonia",8,,,Corrosive,,,,,,,,FALSE,FALSE
133,2518,Ammonium arsenate ,"Ammonium arsenate, Ammonium, arsenate",6.1,,,Toxic,,,,,,,,FALSE,FALSE
134,2519,Ammonium dichromate,"Ammonium dichromate, Ammonium, dichromate",5.1,,,Oxidizer,,,,,,,,FALSE,FALSE
135,2520,"Ammonium dinitro-o-cresolate, solid ","Ammonium dinitro-o-cresolate, Ammonium, dinitro-o-cresolate",6.1,,,Toxic,,,,,,,,FALSE,FALSE
136,2521,Ammonium dinitro-o-cresolate solution ,"Ammonium dinitro-o-cresolate solution, Ammonium, dinitro-o-cresolate",6.1,,,Toxic,,,,,,,,FALSE,FALSE
137,2522,Ammonium fluoride,"Ammonium fluoride, Ammonium, fluoride",6.1,,,Toxic,,,,,,,,FALSE,FALSE
138,2523,Ammonium fluorosilicate,"Ammonium fluorosilicate, Ammonium, fluorosilicate",6.1,,,Toxic,,,,,,,,FALSE,FALSE
